References	Qty	Description
C1, C4	2	C Small 10u Unpolarized capacitor, small symbol 0805 2012Metric
C2, C3, C5, C6, C7, C8, C9, C10	8	C Small 100n Unpolarized capacitor, small symbol 0402 1005Metric
D1, D2	2	LED Light emitting diode 0603 1608Metric
D3, D4	2	D Small SS310 Diode, small symbol SOD-123
J1	1	USB C Receptacle USB2.0 USB-c 2.0-only Type-C connector USB-C 16Pin
J3	1	Conn 01x15 Male 1 Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/) PinHeader 1x15 P2.54mm Vertical
J4	1	Conn 01x15 Male 2 Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/) PinHeader 1x15 P2.54mm Vertical
J5	1	Conn 01x04 Male SWD Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/) PinHeader 1x04 P2.54mm Horizontal
L1	1	L Small 4u7 Inductor, small symbol Taiyo-Yuden MD-3030
R1, R2	2	R Small DNP Resistor, small symbol 0402 1005Metric
R3, R4	2	R 5k1 Resistor 0402 1005Metric
R5, R7, R10, R12, R11	5	R Small 5k1 Resistor, small symbol 0402 1005Metric
R6	1	R Small 16k Resistor, small symbol 0402 1005Metric
R8, R9	2	R Small 0 Resistor, small symbol 0402 1005Metric
SW1	1	SW Push button switch, generic, two pins SPST PTS810
U1	1	USBLC6-4 SOT-23-6
U2	1	STM32F072CBUx ARM Cortex-M0 MCU, 64KB flash, 16KB RAM, 48MHz, 2-3.6V, 37 GPIO, UFQFPN-48 QFN-48-1EP 7x7mm P0.5mm EP5.6x5.6mm
U3	1	ACT4088 SOT-23-6
U4	1	FUSB302BMPX Programmable USB Type-C Controller w/PD, I2C address 0x22, WQFN-14 WQFN-14-1EP 2.5x2.5mm P0.5mm EP1.45x1.45mm
