Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u 25V","C_0805_2012Metric",51.580000,-23.890000,180.000000,top
"C2","100n 50V","C_0603_1608Metric",51.180000,-29.340000,270.000000,top
"C3","100n 50V","C_0402_1005Metric",53.720000,-23.870000,270.000000,top
"C4","10u 25V","C_0805_2012Metric",56.500000,-28.960000,270.000000,top
"C5","100n 50V","C_0402_1005Metric",49.930000,-31.000000,270.000000,top
"C6","100n 50V","C_0402_1005Metric",48.920000,-30.255000,270.000000,top
"C7","100n 50V","C_0402_1005Metric",36.470000,-27.700000,270.000000,top
"C8","100n 50V","C_0402_1005Metric",34.600000,-31.400000,270.000000,top
"C9","100n 50V","C_0402_1005Metric",46.100000,-23.800000,315.000000,top
"C10","100n 50V","C_0402_1005Metric",33.600000,-31.400000,270.000000,top
"C11","10u 25V","C_0805_2012Metric",54.690000,-28.950000,270.000000,top
"D1","LED RED","LED_0603_1608Metric",28.500000,-23.600000,180.000000,top
"D2","LED GREEN","LED_0603_1608Metric",28.500000,-33.600000,180.000000,top
"L1","4u7","L_1210_3225Metric",55.820000,-25.100000,270.000000,top
"R1","DNP","R_0402_1005Metric",29.000000,-31.000000,180.000000,top
"R2","DNP","R_0402_1005Metric",29.200000,-26.000000,180.000000,top
"R3","3k3","R_0402_1005Metric",29.200000,-24.900000,0.000000,top
"R4","3k3","R_0402_1005Metric",29.000000,-32.200000,0.000000,top
"R5","3k3","R_0402_1005Metric",48.800000,-33.095000,90.000000,top
"R6","10k","R_0402_1005Metric",49.930000,-28.990000,90.000000,top
"R7","3k3","R_0402_1005Metric",49.600000,-27.085000,90.000000,top
"R8","0","R_0402_1005Metric",31.600000,-26.000000,0.000000,top
"R9","0","R_0402_1005Metric",31.600000,-31.000000,0.000000,top
"R10","3k3","R_0402_1005Metric",35.690000,-25.770001,90.000000,top
"R11","3k3","R_0402_1005Metric",36.690000,-25.770001,90.000000,top
"R12","10k","R_0402_1005Metric",52.800000,-28.750000,0.000000,top
"R13","100","R_0402_1005Metric",49.830000,-33.090000,90.000000,top
"SW1","SW_Push","SW_SPST_PTS810",54.700000,-32.512000,180.000000,top
"U1","USBLC6-4","SOT-23-6",29.700000,-28.500000,180.000000,top
"U2","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",42.700000,-28.589949,225.000000,top
"U3","SY8201","SOT-23-6",51.970000,-26.480000,0.000000,top
"U4","FUSB302BMPX","WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm",34.000000,-28.500000,90.000000,top
