Comment,Designator,Footprint, LCSC
10u 25V,"C1,C4,C11",Capacitor_SMD:C_0805_2012Metric,C15850
100n 50V,C2,Capacitor_SMD:C_0603_1608Metric,C14663
100n 50V,"C3,C5,C6,C7,C8,C9,C10",Capacitor_SMD:C_0402_1005Metric,C1525
LED RED,D1,LED_SMD:LED_0603_1608Metric,C2286
LED GREEN,D2,LED_SMD:LED_0603_1608Metric,C72043
USB-c,J1,otter:USB-C 16Pin,C167321
4u7,L1,Inductor_SMD:L_1210_3225Metric,C86070
DNP,"R1,R2",Resistor_SMD:R_0402_1005Metric,
100,R13,Resistor_SMD:R_0402_1005Metric,C25076
3k3,"R5,R3,R4,R10,R11",Resistor_SMD:R_0402_1005Metric,C25890
100k,"R12,R6",Resistor_SMD:R_0402_1005Metric,C25741
0,"R8,R9",Resistor_SMD:R_0402_1005Metric,C17168
SW_Push,SW1,Button_Switch_SMD:SW_SPST_PTS810,C127488
USBLC6-4,U1,Package_TO_SOT_SMD:SOT-23-6,C84837
STM32F072CBTx,U2,Package_QFP:LQFP-48_7x7mm_P0.5mm,C81720 
SY8201,U3,Package_TO_SOT_SMD:SOT-23-6,C108052
FUSB302BMPX,U4,Package_DFN_QFN:WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,C132291
22.1k,R7,Resistor_SMD:R_0402_1005Metric, C25768
