Reference, Quantity, Value, Footprint, Datasheet
C1 C4 ,2,"10u","Capacitor_SMD:C_0805_2012Metric","~"
C10 C2 C3 C5 C6 C7 C8 C9 ,8,"100n","Capacitor_SMD:C_0402_1005Metric","~"
D1 D2 ,2,"LED","LED_SMD:LED_0603_1608Metric","~"
D3 D4 ,2,"SS310","Diode_SMD:D_SOD-123","~"
J1 ,1,"USB-c","otter:USB-C 16Pin","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
J3 ,1,"1","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~"
J4 ,1,"2","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~"
J5 ,1,"SWD","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
L1 ,1,"4u7","Inductor_SMD:L_Taiyo-Yuden_MD-3030","~"
R3 R4 ,2,"R","Resistor_SMD:R_0402_1005Metric","~"
R1 R10 R11 R12 R2 R5 R7 ,7,"5k1","Resistor_SMD:R_0402_1005Metric","~"
R6 ,1,"16k","Resistor_SMD:R_0402_1005Metric","~"
R8 R9 ,2,"DNP","Resistor_SMD:R_0402_1005Metric","~"
SW1 ,1,"SW_Push","Button_Switch_SMD:SW_SPST_PTS810","~"
U1 ,1,"USBLC6-4","Package_TO_SOT_SMD:SOT-23-6",""
U2 ,1,"STM32F072CBUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00090510.pdf"
U3 ,1,"ACT4088","Package_TO_SOT_SMD:SOT-23-6",""
U4 ,1,"FUSB302BMPX","Package_DFN_QFN:WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm","http://www.onsemi.com/pub/Collateral/FUSB302B-D.PDF"
